sample,lead,lead2,notes
1,0,0.0,
2,104,,sample removed: house had a filter
3,10,10.0,
4,6,6.0,
5,5,5.0,
6,0,0.0,
7,3,3.0,
8,0,0.0,
9,13,13.0,
10,4,4.0,
11,8,8.0,
12,6,6.0,
13,2,2.0,
14,1,1.0,
15,1,1.0,
16,0,0.0,
17,2,2.0,
18,7,7.0,
19,3,3.0,
20,5,5.0,
21,0,0.0,
22,5,5.0,
23,5,5.0,
24,42,42.0,
25,22,22.0,
26,8,8.0,
27,20,,sample removed: business not residence
28,6,6.0,
29,2,2.0,
30,5,5.0,
31,3,3.0,
32,2,2.0,
33,3,3.0,
34,4,4.0,
35,21,21.0,
36,7,7.0,
37,3,3.0,
38,42,42.0,
39,0,0.0,
40,7,7.0,
41,29,29.0,
42,18,18.0,
43,1,1.0,
44,2,2.0,
45,3,3.0,
46,1,1.0,
47,5,5.0,
48,0,0.0,
49,3,3.0,
50,10,10.0,
51,2,2.0,
52,5,5.0,
53,2,2.0,
54,3,3.0,
55,0,0.0,
56,3,3.0,
57,9,9.0,
58,11,11.0,
59,0,0.0,
60,0,0.0,
61,3,3.0,
62,6,6.0,
63,2,2.0,
64,0,0.0,
65,2,2.0,
66,0,0.0,
67,2,2.0,
68,0,0.0,
69,3,3.0,
70,5,5.0,
71,2,2.0,
